,activeDuty,paramilitary,reserves,total,pop2022
activeDuty,1.0,0.5185109319515347,0.5010078703607417,0.6942798809070113,0.8031662372015287
paramilitary,0.5185109319515347,1.0,0.6927734705411054,0.9235293395214421,0.26381152170820277
reserves,0.5010078703607417,0.6927734705411054,1.0,0.8845283313231822,0.30084755283417697
total,0.6942798809070113,0.9235293395214421,0.8845283313231822,1.0,0.43538011342477184
pop2022,0.8031662372015287,0.26381152170820277,0.30084755283417697,0.43538011342477184,1.0
